Experiment Log
C:\Users\Rb Lab\Documents\GitHub\fqh_arbitrary_ramps\Data_folder

6/18/2026 1:33:44 PM

Experiment Program Used:
C:\Users\Rb Lab\Documents\GitHub\fqh_arbitrary_ramps\Timeline\Analysis\2026_06_11_parameter_update_test\readArrayExample.vb

Batch Length:  
1

==========================
timestamp ,  expNo ,  start_var ,  end_var ,  ramp_time ,  
--------------------------
2026-06-18 13:33:44.188,  0,  4,  0,  100,  
2026-06-18 13:33:46.688,  0,  4,  0,  100,  
2026-06-18 13:33:49.213,  0,  4,  0,  100,  
2026-06-18 13:33:51.749,  0,  4,  0,  100,  
2026-06-18 13:33:54.230,  0,  4,  2,  100,  
2026-06-18 13:33:56.803,  0,  4,  2,  100,  
2026-06-18 13:33:59.233,  0,  4,  2,  100,  
2026-06-18 13:34:01.808,  0,  4,  2,  100,  
2026-06-18 13:34:04.336,  0,  4,  2,  100,  
2026-06-18 13:34:06.990,  0,  4,  2,  100,  
2026-06-18 13:34:09.467,  0,  4,  2,  100,  
2026-06-18 13:34:11.982,  0,  4,  2,  100,  
2026-06-18 13:34:14.484,  0,  4,  2,  100,  
2026-06-18 13:34:17.033,  0,  4,  2,  100,  
2026-06-18 13:34:19.727,  0,  4,  2,  100,  
2026-06-18 13:34:22.267,  0,  4,  2,  100,  
2026-06-18 13:34:24.921,  0,  4,  2,  100,  
2026-06-18 13:34:27.473,  0,  4,  2,  100,  
2026-06-18 13:34:29.989,  0,  4,  2,  100,  
2026-06-18 13:34:32.507,  0,  4,  2,  100,  
2026-06-18 13:34:35.023,  0,  4,  2,  100,  
2026-06-18 13:34:37.642,  0,  4,  2,  100,  
2026-06-18 13:34:40.162,  0,  4,  2,  100,  
2026-06-18 13:34:42.726,  0,  4,  2,  100,  
2026-06-18 13:34:45.271,  0,  4,  2,  100,  
2026-06-18 13:34:47.791,  0,  4,  2,  100,  
2026-06-18 13:34:50.364,  0,  4,  2,  100,  
2026-06-18 13:34:52.851,  0,  4,  2,  100,  
2026-06-18 13:34:55.392,  0,  4,  2,  100,  
2026-06-18 13:34:57.950,  0,  4,  2,  100,  
2026-06-18 13:35:00.479,  0,  4,  2,  100,  
2026-06-18 13:35:03.057,  0,  4,  2,  100,  
2026-06-18 13:35:05.590,  0,  4,  2,  100,  
2026-06-18 13:35:08.123,  0,  4,  2,  100,  
2026-06-18 13:35:10.633,  0,  4,  2,  100,  
2026-06-18 13:35:13.221,  0,  4,  2,  100,  
2026-06-18 13:35:15.726,  0,  4,  2,  100,  
2026-06-18 13:35:18.303,  0,  4,  2,  100,  
